Category,Description,NutrientDataBankNumber,Carotene,Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein and Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,SugarTotal,Water,MonosaturatedFat,PolysaturatedFat,SaturatedFat,Total Lipid,Calcium,Copper,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Vitamin_A,Vitamin_B12,Vitamin_B6,Vitamin_C,Vitamin_D,Vitamin_E,Vitamin_K
Milk,"Milk, human",11000000,7,0,6.89,14,16,0,0,0,0.177,1.03,60,0.036,1.8,6.89,87.5,1.658,0.497,2.009,4.38,32,0.052,0.03,3,14,51,17,0.17,61,0.05,0.011,5,0.014,0.08,0.3
Milk,"Milk, NFS",11100000,4,0,4.87,8,17.9,0,0,0,0.11,3.34,58,0.137,1.9,4.89,89.04,0.426,0.065,1.164,1.99,126,0.001,0,12,103,157,39,0.42,59,0.56,0.06,0.1,0.057,0.03,0.2
Milk,"Milk, whole",11111000,7,0,4.67,12,17.8,0,0,0,0.105,3.28,31,0.138,1.9,4.81,88.1,0.688,0.108,1.86,3.2,123,0.001,0,12,101,150,38,0.41,32,0.54,0.061,0,0.056,0.05,0.3
Milk,"Milk, low sodium, whole",11111100,7,0,4.46,14,16,0,0,0,0.043,3.1,28,0.105,2,4.46,88.2,0.999,0.128,2.154,3.46,101,0.01,0.05,5,86,253,3,0.38,29,0.36,0.034,0.9,0.02,0.08,0.3
Milk,"Milk, calcium fortified, whole",11111150,7,0,4.67,12,17.8,0,0,0,0.105,3.28,31,0.138,1.9,4.81,88.1,0.688,0.108,1.86,3.2,123,0.001,0,12,101,150,38,0.41,32,0.54,0.061,0,0.056,0.05,0.3
Milk,"Milk, calcium fortified, low fat (1%)",11111160,1,0,5.19,5,17.4,0,0,0,0.113,3.38,58,0.14,2.1,4.96,89.7,0.21,0.032,0.568,0.95,126,0.001,0,12,103,159,39,0.43,58,0.61,0.06,0,0.057,0.02,0.1
Milk,"Milk, calcium fortified, fat free (skim)",11111170,0,0,4.85,2,16,0,0,0,0.088,3.4,137,0.14,2.1,4.85,90.8,0.047,0.007,0.117,0.18,204,0.011,0.04,11,101,166,52,0.4,137,0.38,0.04,1,0.036,0.01,0
Milk,"Milk, reduced fat (2%)",11112110,3,0,4.91,8,18.2,0,0,0,0.112,3.35,83,0.137,1.8,4.89,89.1,0.4,0.058,1.11,1.9,126,0.001,0,12,103,159,39,0.43,83,0.55,0.061,0.2,0.059,0.03,0.2
Milk,"Milk, acidophilus, low fat (1%)",11112120,1,0,5.19,5,17.4,0,0,0,0.113,3.38,58,0.14,2.1,4.96,89.7,0.21,0.032,0.568,0.95,126,0.001,0,12,103,159,39,0.43,58,0.61,0.06,0,0.057,0.02,0.1
Milk,"Milk, acidophilus, reduced fat (2%)",11112130,3,0,4.91,8,18.2,0,0,0,0.112,3.35,83,0.137,1.8,4.89,89.1,0.4,0.058,1.11,1.9,126,0.001,0,12,103,159,39,0.43,83,0.55,0.061,0.2,0.059,0.03,0.2
Milk,"Milk, low fat (1%)",11112210,1,0,5.19,5,17.4,0,0,0,0.113,3.38,58,0.14,2.1,4.96,89.7,0.21,0.032,0.568,0.95,126,0.001,0,12,103,159,39,0.43,58,0.61,0.06,0,0.057,0.02,0.1
Milk,"Milk, fat free (skim)",11113000,2,0,4.89,3,18.2,0,0,0,0.118,3.43,64,0.131,2,5.05,90.8,0.017,0.006,0.049,0.08,132,0.002,0,12,107,167,41,0.45,64,0.58,0.058,0,0.056,0,0
Milk,"Milk, lactose free, low fat (1%)",11114300,1,0,5.19,5,17.4,0,0,0,0.113,3.38,58,0.14,2.1,4.96,89.7,0.21,0.032,0.568,0.95,126,0.001,0,12,103,159,39,0.43,58,0.61,0.06,0,0.057,0.02,0.1
Milk,"Milk, lactose free, fat free (skim)",11114320,2,0,4.89,3,18.2,0,0,0,0.118,3.43,64,0.131,2,5.05,90.8,0.017,0.006,0.049,0.08,132,0.002,0,12,107,167,41,0.45,64,0.58,0.058,0,0.056,0,0
Milk,"Milk, lactose free, reduced fat (2%)",11114330,3,0,4.91,8,18.2,0,0,0,0.112,3.35,83,0.137,1.8,4.89,89.1,0.4,0.058,1.11,1.9,126,0.001,0,12,103,159,39,0.43,83,0.55,0.061,0.2,0.059,0.03,0.2
Milk,"Milk, lactose free, whole",11114350,7,0,4.67,12,17.8,0,0,0,0.105,3.28,31,0.138,1.9,4.81,88.1,0.688,0.108,1.86,3.2,123,0.001,0,12,101,150,38,0.41,32,0.54,0.061,0,0.056,0.05,0.3
Buttermilk,"Buttermilk, fat free (skim)",11115000,1,0,4.79,4,17.7,0,0,0,0.058,3.31,13,0.154,2,4.79,90.13,0.254,0.033,0.66,1.07,116,0.011,0.05,11,89,151,148,0.42,14,0.22,0.034,1,0.034,0.05,0.1
Buttermilk,"Buttermilk, low fat (1%)",11115100,1,0,4.79,4,17.7,0,0,0,0.058,3.31,13,0.154,2,4.79,90.13,0.254,0.033,0.66,1.07,116,0.011,0.05,11,89,151,148,0.42,14,0.22,0.034,1,0.034,0.05,0.1
Buttermilk,"Buttermilk, reduced fat (2%)",11115200,3,0,5.3,8,16,0,0,0,0.1,4.1,16,0.21,2.3,5.3,87.7,0.576,0.071,1.242,2,143,0.008,0.06,13,82,180,105,0.24,16,0.37,0.03,1.5,0.05,0.11,0.1
Buttermilk,"Buttermilk, whole",11115300,7,0,4.88,11,14.6,0,0,0,0.09,3.21,46,0.172,3.7,4.88,87.91,0.827,0.198,1.899,3.31,115,0.025,0.03,10,85,135,105,0.38,47,0.46,0.036,0,0.047,0.07,0.3
Kefir,"Kefir, NS as to fat content",11115400,2,0,7.48,5,15.2,0,0,0,0.128,3.59,174,0.172,3.6,6.91,87.26,0.286,0.047,0.596,0.96,124,0.009,0.04,12,100,159,38,0.45,174,0.3,0.059,0.8,0.03,0.04,0.6
Goat's milk,"Goat's milk, whole",11116000,7,0,4.45,11,16,0,0,0,0.277,3.56,56,0.138,1.4,4.45,87.03,1.109,0.149,2.667,4.14,134,0.046,0.05,14,111,204,50,0.3,57,0.07,0.046,1.3,0.048,0.07,0.3
Milk,"Milk, dry, reconstituted, NS as to fat content",11120000,0,0,4.6,2,15,0,0,0,0.084,3.2,58,0.137,2.4,4.6,91.34,0.018,0.003,0.044,0.07,114,0.013,0.03,11,86,159,51,0.37,58,0.36,0.032,0.6,0.037,0,0
Milk,"Milk, dry, reconstituted, whole",11121100,8,0,5.86,15,18.2,0,0,0,0.099,4.01,39,0.184,2.5,5.86,85.04,1.209,0.101,2.554,4.08,142,0.021,0.07,14,118,203,60,0.52,39,0.5,0.046,1.3,0.043,0.09,0.3
Milk,"Milk, dry, reconstituted, low fat (1%)",11121210,2,0,4.55,4,15,0,0,0,0.083,3.17,65,0.136,2.4,4.55,90.48,0.291,0.038,0.633,1.01,113,0.013,0.03,11,85,157,51,0.37,65,0.35,0.032,0.6,0.036,0.03,0.1
Milk,"Milk, dry, reconstituted, fat free (skim)",11121300,0,0,4.6,2,15,0,0,0,0.084,3.2,1,0.137,2.4,4.6,91.34,0.018,0.003,0.044,0.07,114,0.013,0.03,11,86,159,51,0.37,1,0.36,0.032,0.6,0.037,0,0
Milk,"Milk, evaporated, NS as to fat content",11210050,12,0,10.04,29,31.8,0,0,0,0.194,6.81,64,0.316,2.3,10.04,74.04,2.335,0.245,4.591,7.56,261,0.016,0.19,24,203,303,106,0.77,65,0.16,0.05,1.9,0.047,0.14,0.5
Milk,"Milk, evaporated, whole",11211050,12,0,10.04,29,31.8,0,0,0,0.194,6.81,64,0.316,2.3,10.04,74.04,2.335,0.245,4.591,7.56,261,0.016,0.19,24,203,303,106,0.77,65,0.16,0.05,1.9,0.047,0.14,0.5
Milk,"Milk, evaporated, reduced fat (2%)",11211400,3,0,11.15,8,25.1,0,0,0,0.171,7.42,130,0.304,2.5,11.15,78,0.569,0.071,1.214,1.96,285,0.016,0.28,27,192,326,113,0.88,131,0.24,0.054,1.2,0.044,0.05,0.2
Milk,"Milk, evaporated, fat free (skim)",11212050,0,0,11.35,4,25.2,0,0,0,0.174,7.55,118,0.309,2.5,11.35,79.4,0.062,0.006,0.121,0.2,290,0.016,0.29,27,195,332,115,0.9,118,0.24,0.055,1.2,0.045,0,0
Milk,"Milk, condensed, sweetened",11220000,14,0,54.4,34,89.1,0,0,0,0.21,7.91,73,0.416,14.8,54.4,27.16,2.427,0.337,5.486,8.7,284,0.015,0.19,26,253,371,127,0.94,74,0.44,0.051,2.6,0.09,0.16,0.6
Non-dairy milk,"Non-dairy milk, NFS",11300100,1,0,3.75,0,9,0.2,0,0,0.171,1.04,77,0.062,0.8,3.03,93.33,0.485,0.408,0.237,1.17,164,0.062,0.32,8,19,80,60,0.12,77,0.29,0.009,0,0.009,1.8,0.9
Soy milk,Soy milk,11320000,2,0,4.92,0,23.6,0.2,0,0,0.425,2.6,55,0.184,2.3,3.65,90.36,0.382,0.858,0.205,1.47,123,0.165,0.42,15,43,122,47,0.26,55,0.85,0.031,0,0.029,0.11,3
Soy milk,"Soy milk, light",11320100,1,0,3.51,0,12.3,0.3,0,0,0.222,2.38,61,0.201,2.3,2.61,92.69,0.202,0.426,0.005,0.77,123,0.086,0.43,15,87,117,48,0.23,61,1,0.016,0,0.037,0.06,1.6
Soy milk,"Soy milk, nonfat",11320200,1,0,4.14,0,17.9,0.2,0,0,0.323,2.47,61,0.174,1.8,3.65,92.67,0,0.036,0,0.04,116,0.125,0.35,10,87,105,57,0.1,61,0.23,0.024,0,0.022,0.08,2.3
Soy milk,"Soy milk, chocolate",11321000,2,0,9.95,0,23.6,0.4,0,0,0.513,2.26,70,0.262,4.8,7.86,85.61,0.379,0.836,0.24,1.53,126,0.206,0.48,15,51,143,53,0.34,70,0.7,0.077,1.7,0.022,0.11,3
Soy milk,"Soy milk, light, chocolate",11321100,2,0,8.24,0,28.4,0.7,0,0,0.512,2.1,61,0.201,1.7,7.13,88.38,0.037,0.405,0.032,0.64,123,0.199,0.59,15,87,144,46,0.23,61,1,0.037,0,0.037,0.13,3.6
Soy milk,"Soy milk, nonfat, chocolate",11321200,2,0,8.24,0,28.4,0.7,0,0,0.512,2.1,61,0.201,1.7,7.13,88.38,0.037,0.405,0.032,0.64,123,0.199,0.59,15,87,144,46,0.23,61,1,0.037,0,0.037,0.13,3.6
Almond milk,"Almond milk, sweetened",11350000,0,0,5.24,0,3,0.2,0,0,0.067,0.38,86,0.01,0.1,4.77,92.68,0.566,0.23,0.077,0.93,177,0.019,0.27,6,9,64,69,0.06,86,0,0,0,0,2.7,0
Almond milk,"Almond milk, sweetened, chocolate",11350010,0,0,8.34,0,2.9,0.3,0,0,0.071,0.43,83,0.011,0.2,7.72,89.52,0.561,0.224,0.098,0.95,171,0.03,0.3,7,11,67,67,0.08,83,0,0,0,0,2.61,0
Almond milk,"Almond milk, unsweetened",11350020,0,0,1.31,0,3.1,0.2,0,0,0.07,0.4,90,0.01,0.1,0.81,96.54,0.59,0.24,0.08,0.96,184,0.02,0.28,6,9,67,72,0.06,90,0,0,0,0,2.81,0
Almond milk,"Almond milk, unsweetened, chocolate",11350030,0,0,1.48,0,3.1,0.3,0,0,0.076,0.46,90,0.011,0.1,0.81,96.26,0.602,0.241,0.104,1,184,0.031,0.32,7,11,71,72,0.08,90,0,0,0,0,2.8,0
Rice milk,Rice milk,11360000,0,0,9.17,0,2.1,0.3,0,0,0.39,0.28,63,0.142,2.2,5.28,89.28,0.625,0.313,0,0.97,118,0.037,0.2,11,56,27,39,0.13,63,0.63,0.039,0,0.027,0.47,0.2
Coconut milk,Coconut milk,11370000,0,0,2.92,0,0,0,0,0,0,0.21,63,0,0,2.5,94.57,0,0,2.083,2.08,188,0,0.3,0,0,19,19,0,63,0.63,0,0,0,0,0
Yogurt,"Yogurt, NFS",11400000,2,0,7.04,6,15.2,0,0,0,0.114,5.25,14,0.214,3.3,7.04,85.06,0.426,0.044,1,1.55,183,0.013,0.08,17,144,234,70,0.89,14,0.56,0.049,0.8,0.044,0.03,0.2
Yogurt,"Yogurt, Greek, NS as to type of milk or flavor",11400010,6,0,3.94,10,15.2,0,1,0,0.197,9.95,90,0.233,12.4,3.56,83.56,0.486,0.076,1.23,1.92,115,0.021,0.04,11,137,141,34,0.6,90,0.52,0.055,0.8,0.044,0.04,0.2
Yogurt,"Yogurt, NS as to type of milk or flavor",11410000,2,0,7.04,6,15.2,0,0,0,0.114,5.25,14,0.214,3.3,7.04,85.06,0.426,0.044,1,1.55,183,0.013,0.08,17,144,234,70,0.89,14,0.56,0.049,0.8,0.044,0.03,0.2
Yogurt,"Yogurt, NS as to type of milk, plain",11411010,2,0,7.04,6,15.2,0,0,0,0.114,5.25,14,0.214,3.3,7.04,85.06,0.426,0.044,1,1.55,183,0.013,0.08,17,144,234,70,0.89,14,0.56,0.049,0.8,0.044,0.03,0.2
